330.4239 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_20dBFS.wav
330.4240 	EXP 	Sound  started
332.4081 	EXP 	Sound  stopped
332.4087 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_30dBFS.wav
332.4087 	EXP 	Sound  started
334.3939 	EXP 	Sound  stopped
334.3945 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_40dBFS.wav
334.3945 	EXP 	Sound  started
336.3798 	EXP 	Sound  stopped
336.3804 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_50dBFS.wav
336.3804 	EXP 	Sound  started
338.3657 	EXP 	Sound  stopped
338.3663 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_60dBFS.wav
338.3663 	EXP 	Sound  started
340.3516 	EXP 	Sound  stopped
340.3522 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_70dBFS.wav
340.3522 	EXP 	Sound  started
342.3375 	EXP 	Sound  stopped
342.3381 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_80dBFS.wav
342.3381 	EXP 	Sound  started
344.1235 	DATA 	Keypress: 7
344.3234 	EXP 	Sound  stopped
344.3240 	EXP 	Set  sound=stimuli/audiosegment/8000hz_minus_20dBFS.wav
344.3240 	EXP 	Sound  started
346.3093 	EXP 	Sound  stopped
346.3099 	EXP 	Set  sound=stimuli/audiosegment/8000hz_minus_30dBFS.wav
346.3099 	EXP 	Sound  started
348.2952 	EXP 	Sound  stopped
348.2958 	EXP 	Set  sound=stimuli/audiosegment/8000hz_minus_40dBFS.wav
348.2958 	EXP 	Sound  started
350.2811 	EXP 	Sound  stopped
350.2817 	EXP 	Set  sound=stimuli/audiosegment/8000hz_minus_50dBFS.wav
350.2817 	EXP 	Sound  started
352.2670 	EXP 	Sound  stopped
352.2676 	EXP 	Set  sound=stimuli/audiosegment/8000hz_minus_60dBFS.wav
352.2676 	EXP 	Sound  started
354.2528 	EXP 	Sound  stopped
354.2534 	EXP 	Set  sound=stimuli/audiosegment/8000hz_minus_70dBFS.wav
354.2535 	EXP 	Sound  started
356.0388 	DATA 	Keypress: 7
356.2387 	EXP 	Sound  stopped
356.2393 	EXP 	Set  sound=stimuli/audiosegment/500hz_minus_20dBFS.wav
356.2393 	EXP 	Sound  started
358.2243 	EXP 	Sound  stopped
358.2249 	EXP 	Set  sound=stimuli/audiosegment/500hz_minus_30dBFS.wav
358.2249 	EXP 	Sound  started
360.2101 	EXP 	Sound  stopped
